Acad Group,Class ID,Subject,Subject Code,Course Nbr,Section,Course Title,Day,Time,Instructor,Credits
Engineering,26919,Robotics,ROB, 590,019,Directed Study,,ARR,Revzen,1.00-6.00
Engineering,26989,Robotics,ROB, 590,020,Directed Study,,ARR,Kolmanovsky,1.00-6.00
Engineering,27004,Robotics,ROB, 590,021,Directed Study,,ARR,Krishnan,1.00-6.00
Engineering,28899,Robotics,ROB, 590,022,Directed Study,,ARR,Gillespie,1.00-6.00
Engineering,28901,Robotics,ROB, 590,023,Directed Study,,ARR,Chestek,1.00-6.00
Engineering,28900,Robotics,ROB, 590,024,Directed Study,,ARR,Kuipers,1.00-6.00
Engineering,28902,Robotics,ROB, 590,025,Directed Study,,ARR,Ojeda,1.00-6.00
Engineering,28903,Robotics,ROB, 590,026,Directed Study,,ARR,Girard,1.00-6.00
Engineering,29517,Robotics,ROB, 590,027,Directed Study,,ARR,Zhao,1.00-6.00
Engineering,29612,Robotics,ROB, 590,028,Directed Study,,ARR,Rouse,1.00-6.00
Engineering,29774,Robotics,ROB, 590,029,Directed Study,,ARR,Mihalcea,1.00-6.00
Engineering,36864,Robotics,ROB, 590,030,Directed Study,,ARR,Gates,1.00-6.00
Engineering,35666,Robotics,ROB, 590,031,Directed Study,,ARR,Ghaffari Jadidi,1.00-6.00
Engineering,35974,Robotics,ROB, 590,032,Directed Study,,ARR,Peng,1.00-6.00
Engineering,37221,Robotics,ROB, 590,034,Directed Study,,ARR,Ersal,1.00-6.00
Engineering,26947,Robotics,ROB, 990,001,DIss-Precand,,ARR,,1.00-8.00
Engineering,26948,Robotics,ROB, 990,002,DIss-Precand,,ARR,Atkins,1.00-8.00
Engineering,26949,Robotics,ROB, 990,003,DIss-Precand,,ARR,Eustice,1.00-8.00
Engineering,26950,Robotics,ROB, 990,004,DIss-Precand,,ARR,Grizzle,1.00-8.00
Engineering,26951,Robotics,ROB, 990,005,DIss-Precand,,ARR,Johnson-Roberson,1.00-8.00
Engineering,27008,Robotics,ROB, 990,008,DIss-Precand,,ARR,Corso,1.00-8.00
Engineering,32899,Robotics,ROB, 990,016,DIss-Precand,,ARR,Jenkins,1.00-8.00
Engineering,26939,Robotics,ROB, 995,001,Diss-Cand,,ARR,,8.00
Engineering,26940,Robotics,ROB, 995,002,Diss-Cand,,ARR,Atkins,8.00
Engineering,26941,Robotics,ROB, 995,003,Diss-Cand,,ARR,Eustice,8.00
Engineering,26942,Robotics,ROB, 995,004,Diss-Cand,,ARR,Grizzle,8.00
Engineering,26943,Robotics,ROB, 995,005,Diss-Cand,,ARR,Johnson-Roberson,8.00
Engineering,29782,Robotics,ROB, 995,008,Diss-Cand,,ARR,Corso,8.00
Engineering,32898,Robotics,ROB, 995,010,Diss-Cand,,ARR,Sarter,8.00
Engineering,32900,Robotics,ROB, 995,016,Diss-Cand,,ARR,Jenkins,8.00
Engineering,36248,Robotics,ROB, 995,017,Diss-Cand,,ARR,Berenson,8.00
Engineering,36402,Robotics,ROB, 995,019,Diss-Cand,,ARR,Revzen,8.00
Engineering,36729,Robotics,ROB, 995,023,Diss-Cand,,ARR,Chestek,8.00
Engineering,36327,Robotics,ROB, 995,033,Diss-Cand,,ARR,Yang,8.00
Engineering,37038,Robotics,ROB, 995,070,Diss-Cand,,ARR,Barton,8.00
Engineering,18330,Design Science,DESCI, 501,001,Analytical Prod Des,T TH,130-330PM,Papalambros,3.00
Engineering,25636,Design Science,DESCI, 503,001,Design Practicum,,ARR,,3.00-6.00
Engineering,25637,Design Science,DESCI, 503,024,Design Practicum,,ARR,Brei,3.00-6.00
Engineering,29636,Design Science,DESCI, 503,033,Design Practicum,,ARR,Reed,3.00-6.00
Engineering,30008,Design Science,DESCI, 503,034,Design Practicum,,ARR,Green,3.00-6.00
Engineering,26793,Design Science,DESCI, 590,001,Directed Design Res,,ARR,,3.00-6.00
Engineering,26796,Design Science,DESCI, 590,022,Directed Design Res,,ARR,Brei,3.00-6.00
Engineering,26795,Design Science,DESCI, 590,027,Directed Design Res,,ARR,Austin-Breneman,3.00-6.00
Engineering,29518,Design Science,DESCI, 590,032,Directed Design Res,,ARR,Daly,3.00-6.00
Engineering,36461,Design Science,DESCI, 590,043,Directed Design Res,,ARR,Conrad,3.00-6.00
Engineering,21087,Design Science,DESCI, 599,014,Special Problems,,ARR,Seifert,3.00
Engineering,25575,Design Science,DESCI, 599,022,Special Problems,,ARR,Brei,3.00
Engineering,18331,Design Science,DESCI, 790,001,Des Sci Colloquium,F,10-1130AM,"Reed, Papalambros",1.00-2.00
Engineering,18934,Design Science,DESCI, 990,001,Diss Pre-Cand,,ARR,,1.00-8.00
Engineering,20658,Design Science,DESCI, 990,002,Diss Pre-Cand,,ARR,Papalambros,1.00-8.00
Engineering,20659,Design Science,DESCI, 990,003,Diss Pre-Cand,,ARR,Gonzalez,1.00-8.00
Engineering,20660,Design Science,DESCI, 990,004,Diss Pre-Cand,,ARR,Washabaugh,1.00-8.00
Engineering,20661,Design Science,DESCI, 990,005,Diss Pre-Cand,,ARR,Skerlos,1.00-8.00
Engineering,20662,Design Science,DESCI, 990,006,Diss Pre-Cand,,ARR,Finelli,1.00-8.00
Engineering,20663,Design Science,DESCI, 990,007,Diss Pre-Cand,,ARR,Feinberg,1.00-8.00
Engineering,20664,Design Science,DESCI, 990,008,Diss Pre-Cand,,ARR,Gilchrist,1.00-8.00
Engineering,20665,Design Science,DESCI, 990,009,Diss Pre-Cand,,ARR,Faniel,1.00-8.00
Engineering,20666,Design Science,DESCI, 990,010,Diss Pre-Cand,,ARR,Andersen,1.00-8.00
Engineering,20667,Design Science,DESCI, 990,011,Diss Pre-Cand,,ARR,Marshall,1.00-8.00
Engineering,20668,Design Science,DESCI, 990,012,Diss Pre-Cand,,ARR,Saitou,1.00-8.00
Engineering,20669,Design Science,DESCI, 990,013,Diss Pre-Cand,,ARR,Fowlie,1.00-8.00
Engineering,20670,Design Science,DESCI, 990,014,Diss Pre-Cand,,ARR,Seifert,1.00-8.00
Engineering,20671,Design Science,DESCI, 990,015,Diss Pre-Cand,,ARR,Yoon,1.00-8.00
Engineering,22349,Design Science,DESCI, 990,016,Diss Pre-Cand,,ARR,Sienko,1.00-8.00
Engineering,23208,Design Science,DESCI, 990,018,Diss Pre-Cand,,ARR,Brei,1.00-8.00
Engineering,23214,Design Science,DESCI, 990,019,Diss Pre-Cand,,ARR,Klasnja,1.00-8.00
Engineering,25574,Design Science,DESCI, 990,021,Diss Pre-Cand,,ARR,Epureanu,1.00-8.00
Engineering,25609,Design Science,DESCI, 990,023,Diss Pre-Cand,,ARR,Bagozzi,1.00-8.00
Engineering,26738,Design Science,DESCI, 990,026,Diss Pre-Cand,,ARR,D'Souza,1.00-8.00
Engineering,26790,Design Science,DESCI, 990,027,Diss Pre-Cand,,ARR,Austin-Breneman,1.00-8.00
Engineering,26815,Design Science,DESCI, 990,028,Diss Pre-Cand,,ARR,Pal,1.00-8.00
Engineering,26866,Design Science,DESCI, 990,029,Diss Pre-Cand,,ARR,Hardin,1.00-8.00
Engineering,26910,Design Science,DESCI, 990,030,Diss Pre-Cand,,ARR,Adar,1.00-8.00
Engineering,35512,Design Science,DESCI, 990,033,Diss Pre-Cand,,ARR,Reed,1.00-8.00
Engineering,30016,Design Science,DESCI, 990,035,Diss Pre-Cand,,ARR,Austin-Breneman,1.00-8.00
Engineering,30052,Design Science,DESCI, 990,036,Diss Pre-Cand,,ARR,Ahlquist,1.00-8.00
Engineering,35982,Design Science,DESCI, 990,042,Diss Pre-Cand,,ARR,Singh,1.00-8.00
Engineering,36824,Design Science,DESCI, 990,044,Diss Pre-Cand,,ARR,Page,1.00-8.00
Engineering,19575,Design Science,DESCI, 995,001,Diss-Cand,,ARR,,8.00
Engineering,22456,Design Science,DESCI, 995,002,Diss-Cand,,ARR,Papalambros,8.00
Engineering,21109,Design Science,DESCI, 995,003,Diss-Cand,,ARR,Gonzalez,8.00
Engineering,21058,Design Science,DESCI, 995,004,Diss-Cand,,ARR,Washabaugh,8.00
Engineering,21110,Design Science,DESCI, 995,005,Diss-Cand,,ARR,Skerlos,8.00
Engineering,21062,Design Science,DESCI, 995,008,Diss-Cand,,ARR,Gilchrist,8.00
Engineering,21112,Design Science,DESCI, 995,012,Diss-Cand,,ARR,Saitou,8.00
Engineering,23164,Design Science,DESCI, 995,014,Diss-Cand,,ARR,Seifert,8.00
Engineering,26739,Design Science,DESCI, 995,015,Diss-Cand,,ARR,Yoon,8.00
Engineering,23132,Design Science,DESCI, 995,016,Diss-Cand,,ARR,Sienko,8.00
Engineering,23170,Design Science,DESCI, 995,017,Diss-Cand,,ARR,O'Modhrain,8.00
Engineering,23212,Design Science,DESCI, 995,018,Diss-Cand,,ARR,Brei,8.00
Engineering,23213,Design Science,DESCI, 995,019,Diss-Cand,,ARR,Klasnja,8.00
Engineering,26740,Design Science,DESCI, 995,023,Diss-Cand,,ARR,Bagozzi,8.00
Engineering,37406,Design Science,DESCI, 995,027,Diss-Cand,,ARR,Austin-Breneman,8.00
Engineering,26957,Design Science,DESCI, 995,030,Diss-Cand,,ARR,Adar,8.00
Engineering,35513,Design Science,DESCI, 995,033,Diss-Cand,,ARR,Reed,8.00
Engineering,36752,Engineering Education Research,EER, 390,001,Ugrd Ind Study,,ARR,,1.00-4.00
Engineering,36775,Engineering Education Research,EER, 390,002,Ugrd Ind Study,,ARR,Finelli,1.00-4.00
Engineering,36776,Engineering Education Research,EER, 390,003,Ugrd Ind Study,,ARR,Daly,1.00-4.00
Engineering,36777,Engineering Education Research,EER, 390,004,Ugrd Ind Study,,ARR,Guzdial,1.00-4.00
Engineering,36778,Engineering Education Research,EER, 390,005,Ugrd Ind Study,,ARR,Huang-Saad,1.00-4.00
Engineering,36779,Engineering Education Research,EER, 390,006,Ugrd Ind Study,,ARR,Lattuca,1.00-4.00
Engineering,36780,Engineering Education Research,EER, 390,007,Ugrd Ind Study,,ARR,Mondisa,1.00-4.00
Engineering,36753,Engineering Education Research,EER, 490,001,Ugrd Adv Ind Study,,ARR,,1.00-4.00
Engineering,36781,Engineering Education Research,EER, 490,002,Ugrd Adv Ind Study,,ARR,Finelli,1.00-4.00
Engineering,36782,Engineering Education Research,EER, 490,003,Ugrd Adv Ind Study,,ARR,Daly,1.00-4.00
Engineering,36783,Engineering Education Research,EER, 490,004,Ugrd Adv Ind Study,,ARR,Guzdial,1.00-4.00
Engineering,36784,Engineering Education Research,EER, 490,005,Ugrd Adv Ind Study,,ARR,Huang-Saad,1.00-4.00
Engineering,36785,Engineering Education Research,EER, 490,006,Ugrd Adv Ind Study,,ARR,Lattuca,1.00-4.00
Engineering,36786,Engineering Education Research,EER, 490,007,Ugrd Adv Ind Study,,ARR,Mondisa,1.00-4.00
Engineering,33439,Engineering Education Research,EER, 601,001,Foundations EER,T TH,10-1130AM,"Finelli, Mondisa",3.00
Engineering,36754,Engineering Education Research,EER, 690,001,Grad Ind Study,,ARR,,1.00-4.00
Engineering,36787,Engineering Education Research,EER, 690,002,Grad Ind Study,,ARR,Finelli,1.00-4.00
Engineering,36788,Engineering Education Research,EER, 690,003,Grad Ind Study,,ARR,Daly,1.00-4.00
Engineering,36789,Engineering Education Research,EER, 690,004,Grad Ind Study,,ARR,Guzdial,1.00-4.00
Engineering,36790,Engineering Education Research,EER, 690,005,Grad Ind Study,,ARR,Huang-Saad,1.00-4.00
Engineering,36791,Engineering Education Research,EER, 690,006,Grad Ind Study,,ARR,Lattuca,1.00-4.00
Engineering,36792,Engineering Education Research,EER, 690,007,Grad Ind Study,,ARR,Mondisa,1.00-4.00
Engineering,36755,Engineering Education Research,EER, 990,001,Diss/Pre-Cand,,ARR,,1.00-8.00
Engineering,36793,Engineering Education Research,EER, 990,002,Diss/Pre-Cand,,ARR,Finelli,1.00-8.00
Engineering,36794,Engineering Education Research,EER, 990,003,Diss/Pre-Cand,,ARR,Daly,1.00-8.00
Engineering,36795,Engineering Education Research,EER, 990,004,Diss/Pre-Cand,,ARR,Guzdial,1.00-8.00
Engineering,36796,Engineering Education Research,EER, 990,005,Diss/Pre-Cand,,ARR,Huang-Saad,1.00-8.00
Engineering,36797,Engineering Education Research,EER, 990,006,Diss/Pre-Cand,,ARR,Lattuca,1.00-8.00
Engineering,36798,Engineering Education Research,EER, 990,007,Diss/Pre-Cand,,ARR,Mondisa,1.00-8.00
Engineering,36756,Engineering Education Research,EER, 995,001,Diss-Cand,,ARR,,8.00
Engineering,36799,Engineering Education Research,EER, 995,002,Diss-Cand,,ARR,Finelli,8.00
Engineering,36800,Engineering Education Research,EER, 995,003,Diss-Cand,,ARR,Daly,8.00
Engineering,36801,Engineering Education Research,EER, 995,004,Diss-Cand,,ARR,Guzdial,8.00
Engineering,36802,Engineering Education Research,EER, 995,005,Diss-Cand,,ARR,Huang-Saad,8.00
Engineering,36803,Engineering Education Research,EER, 995,006,Diss-Cand,,ARR,Lattuca,8.00
Engineering,36804,Engineering Education Research,EER, 995,007,Diss-Cand,,ARR,Mondisa,8.00
Engineering,15799,Environmental Sciences and Engineering,ENSCEN, 105,001,Changing Atmos,T TH,10-1130AM,De Roo,3.00
Engineering,15797,Environmental Sciences and Engineering,ENSCEN, 211,001,Intro to Nucl Eng,M W,1030-12PM,"Hua, Brown, Giha",4.00
Engineering,15798,Environmental Sciences and Engineering,ENSCEN, 211,201,Intro to Nucl Eng,F,9-10AM,"Hua, Brown",4.00
Engineering,21955,Environmental Sciences and Engineering,ENSCEN, 211,202,Intro to Nucl Eng,F,130-230PM,"Hua, Giha",4.00
Engineering,18543,Environmental Sciences and Engineering,ENSCEN, 428,001,Groundwater Hydrol,T TH,10-1130AM,"Demond, Ye",3.00
Engineering,18544,Environmental Sciences and Engineering,ENSCEN, 428,002,Groundwater Hydrol,M,2-4PM,"Demond, Ye",3.00
Engineering,15858,Environmental Sciences and Engineering,ENSCEN, 479,001,Atmos Chemistry,T TH,1230-230PM,Steiner,3.00
Engineering,15860,Environmental Sciences and Engineering,ENSCEN, 484,001,RHE Fundamentals,M W F,9-1030AM,"Stuenkel, Carmona",4.00
Engineering,15860,Environmental Sciences and Engineering,ENSCEN, 484,001,RHE Fundamentals,TH,9-1030AM,,4.00
Engineering,18093,Environmental Sciences and Engineering,ENSCEN, 533,001,Combustion Processes,T TH,1030-12PM,Raman,3.00
Engineering,10371,Electrical Engineering And Computer Science,EECS, 183,001,Elem Prog Concepts,T TH,830-10AM,"Kloosterman, Wu, Ongkowijaya",4.00
Engineering,31704,Electrical Engineering And Computer Science,EECS, 183,002,Elem Prog Concepts,T TH,1130-1PM,"Kloosterman, Ongkowijaya, Wu",4.00
Engineering,10374,Electrical Engineering And Computer Science,EECS, 183,003,Elem Prog Concepts,T TH,1-230PM,"Arthur, Ongkowijaya, Wu",4.00
Engineering,21349,Electrical Engineering And Computer Science,EECS, 183,004,Elem Prog Concepts,T TH,230-4PM,"Arthur, Wu, Ongkowijaya",4.00
Engineering,22843,Electrical Engineering And Computer Science,EECS, 183,005,Elem Prog Concepts,T TH,4-530PM,"Garcia-Ramirez, Ongkowijaya, Wu",4.00
Engineering,10372,Electrical Engineering And Computer Science,EECS, 183,011,Elem Prog Concepts,M,9-11AM,Schmidt,4.00
Engineering,10373,Electrical Engineering And Computer Science,EECS, 183,012,Elem Prog Concepts,M,11-1PM,Chen,4.00
Engineering,17181,Electrical Engineering And Computer Science,EECS, 183,013,Elem Prog Concepts,F,2-4PM,Epskamp-Hunt,4.00
Engineering,10375,Electrical Engineering And Computer Science,EECS, 183,014,Elem Prog Concepts,W,12-2PM,Barr,4.00
Engineering,10376,Electrical Engineering And Computer Science,EECS, 183,015,Elem Prog Concepts,F,1-3PM,Wanless,4.00
Engineering,17182,Electrical Engineering And Computer Science,EECS, 183,016,Elem Prog Concepts,M,4-6PM,Barr,4.00
Engineering,21392,Electrical Engineering And Computer Science,EECS, 183,017,Elem Prog Concepts,W,4-6PM,Ramanathan,4.00
Engineering,21393,Electrical Engineering And Computer Science,EECS, 183,018,Elem Prog Concepts,W,1-3PM,Cicatello,4.00
Engineering,21394,Electrical Engineering And Computer Science,EECS, 183,019,Elem Prog Concepts,T,1-3PM,Makki,4.00
Engineering,21395,Electrical Engineering And Computer Science,EECS, 183,020,Elem Prog Concepts,F,12-2PM,Makki,4.00
Engineering,21679,Electrical Engineering And Computer Science,EECS, 183,021,Elem Prog Concepts,F,2-4PM,Sharba,4.00
Engineering,22844,Electrical Engineering And Computer Science,EECS, 183,022,Elem Prog Concepts,W,2-4PM,Choragudi,4.00
Engineering,23013,Electrical Engineering And Computer Science,EECS, 183,023,Elem Prog Concepts,M,2-4PM,Lin,4.00
Engineering,23014,Electrical Engineering And Computer Science,EECS, 183,024,Elem Prog Concepts,T,4-6PM,Srinivasan,4.00
Engineering,23755,Electrical Engineering And Computer Science,EECS, 183,025,Elem Prog Concepts,F,10-12PM,Chen,4.00
Engineering,23756,Electrical Engineering And Computer Science,EECS, 183,026,Elem Prog Concepts,F,11-1PM,Baer,4.00
Engineering,23757,Electrical Engineering And Computer Science,EECS, 183,027,Elem Prog Concepts,W,3-5PM,Tan,4.00
Engineering,24286,Electrical Engineering And Computer Science,EECS, 183,028,Elem Prog Concepts,M,12-2PM,Dillon,4.00
Engineering,24287,Electrical Engineering And Computer Science,EECS, 183,029,Elem Prog Concepts,M,1-3PM,Van Alsburg,4.00
Engineering,24329,Electrical Engineering And Computer Science,EECS, 183,030,Elem Prog Concepts,W,11-1PM,Jammalamadaka,4.00
Engineering,24330,Electrical Engineering And Computer Science,EECS, 183,031,Elem Prog Concepts,F,2-4PM,Pospeshil,4.00
Engineering,24331,Electrical Engineering And Computer Science,EECS, 183,032,Elem Prog Concepts,F,10-12PM,Saraf,4.00
Engineering,26886,Electrical Engineering And Computer Science,EECS, 183,033,Elem Prog Concepts,F,1-3PM,Cao,4.00
Engineering,28974,Electrical Engineering And Computer Science,EECS, 183,034,Elem Prog Concepts,T,4-6PM,Helsel,4.00
Engineering,28975,Electrical Engineering And Computer Science,EECS, 183,035,Elem Prog Concepts,F,2-4PM,Borjigin-Wang,4.00
Engineering,28976,Electrical Engineering And Computer Science,EECS, 183,036,Elem Prog Concepts,F,12-2PM,Bouhamdan,4.00
Engineering,28977,Electrical Engineering And Computer Science,EECS, 183,037,Elem Prog Concepts,TH,4-6PM,Saraf,4.00
Engineering,28978,Electrical Engineering And Computer Science,EECS, 183,038,Elem Prog Concepts,W,5-7PM,Trivedi,4.00
Engineering,29620,Electrical Engineering And Computer Science,EECS, 183,039,Elem Prog Concepts,F,3-5PM,Falkenstein,4.00
Engineering,29621,Electrical Engineering And Computer Science,EECS, 183,040,Elem Prog Concepts,W,3-5PM,Bottrell,4.00
Engineering,29651,Electrical Engineering And Computer Science,EECS, 183,041,Elem Prog Concepts,W,10-12PM,Zhu,4.00
Engineering,29679,Electrical Engineering And Computer Science,EECS, 183,042,Elem Prog Concepts,T,530-730PM,Makki,4.00
Engineering,32375,Electrical Engineering And Computer Science,EECS, 183,043,Elem Prog Concepts,M,1-3PM,Lua,4.00
Engineering,32376,Electrical Engineering And Computer Science,EECS, 183,044,Elem Prog Concepts,M,3-5PM,Clanton,4.00
Engineering,33447,Electrical Engineering And Computer Science,EECS, 198,001,Special Topics,TH,5-6PM,"Wendlandt, Mihalcea",1.00
Engineering,16608,Electrical Engineering And Computer Science,EECS, 203,001,Discrete Math,T TH,9-1030AM,"Hayes, Graetz, Diaz, Xu",4.00
Engineering,26227,Electrical Engineering And Computer Science,EECS, 203,002,Discrete Math,T TH,1030-12PM,"Graetz, Hayes, Diaz, Xu",4.00
Engineering,16607,Electrical Engineering And Computer Science,EECS, 203,003,Discrete Math,T TH,12-130PM,"Graetz, Hayes, Diaz, Xu",4.00
Engineering,29640,Electrical Engineering And Computer Science,EECS, 203,004,Discrete Math,T TH,3-430PM,"Diaz, Hayes, Graetz, Xu",4.00
Engineering,21588,Electrical Engineering And Computer Science,EECS, 203,005,Discrete Math,T TH,430-6PM,"Diaz, Hayes, Graetz, Xu",4.00
Engineering,16609,Electrical Engineering And Computer Science,EECS, 203,011,Discrete Math,M,130-230PM,Ayalp,4.00
Engineering,16610,Electrical Engineering And Computer Science,EECS, 203,012,Discrete Math,F,330-430PM,Rifel,4.00
Engineering,18918,Electrical Engineering And Computer Science,EECS, 203,013,Discrete Math,F,130-230PM,Li,4.00
Engineering,16611,Electrical Engineering And Computer Science,EECS, 203,014,Discrete Math,M,1130-1230PM,Xu,4.00
Engineering,16612,Electrical Engineering And Computer Science,EECS, 203,015,Discrete Math,M,1230-130PM,Shen,4.00
Engineering,16613,Electrical Engineering And Computer Science,EECS, 203,016,Discrete Math,F,230-330PM,Rifel,4.00
Engineering,20959,Electrical Engineering And Computer Science,EECS, 203,017,Discrete Math,F,1230-130PM,Khan,4.00
Engineering,21483,Electrical Engineering And Computer Science,EECS, 203,018,Discrete Math,T,430-530PM,Fietsam,4.00
Engineering,22158,Electrical Engineering And Computer Science,EECS, 203,019,Discrete Math,F,1030-1130AM,Khan,4.00
Engineering,22208,Electrical Engineering And Computer Science,EECS, 203,020,Discrete Math,TH,530-630PM,Xu,4.00
Engineering,22986,Electrical Engineering And Computer Science,EECS, 203,021,Discrete Math,F,11-12PM,Yang,4.00
Engineering,22987,Electrical Engineering And Computer Science,EECS, 203,022,Discrete Math,F,12-1PM,Tekriwal,4.00
Engineering,23753,Electrical Engineering And Computer Science,EECS, 203,023,Discrete Math,F,10-11AM,Yang,4.00
Engineering,24028,Electrical Engineering And Computer Science,EECS, 203,024,Discrete Math,M,4-5PM,Wang,4.00
Engineering,24029,Electrical Engineering And Computer Science,EECS, 203,025,Discrete Math,M,430-530PM,Sun,4.00
Engineering,28979,Electrical Engineering And Computer Science,EECS, 203,026,Discrete Math,F,330-430PM,Tay,4.00
Engineering,26414,Electrical Engineering And Computer Science,EECS, 203,027,Discrete Math,T,4-5PM,Kandula,4.00
Engineering,29672,Electrical Engineering And Computer Science,EECS, 203,028,Discrete Math,F,3-4PM,Gutmann,4.00
Engineering,29673,Electrical Engineering And Computer Science,EECS, 203,029,Discrete Math,F,2-3PM,Chamberlain,4.00
Engineering,29674,Electrical Engineering And Computer Science,EECS, 203,030,Discrete Math,M,3-4PM,Wang,4.00
Engineering,15525,Electrical Engineering And Computer Science,EECS, 215,001,Intro to Elect Circ,M W F,930-1030AM,Phillips,4.00
Engineering,25275,Electrical Engineering And Computer Science,EECS, 215,002,Intro to Elect Circ,M W F,1230-130PM,Winful,4.00
Engineering,32300,Electrical Engineering And Computer Science,EECS, 215,011,Intro to Elect Circ,TH,1030-1130AM,Turek,4.00
Engineering,32301,Electrical Engineering And Computer Science,EECS, 215,012,Intro to Elect Circ,TH,1230-130PM,Sengupta,4.00
Engineering,32303,Electrical Engineering And Computer Science,EECS, 215,013,Intro to Elect Circ,TH,430-530PM,Ghosh,4.00
Engineering,32304,Electrical Engineering And Computer Science,EECS, 215,014,Intro to Elect Circ,TH,3-4PM,Sanamzadehkarimabad,4.00
Engineering,36227,Electrical Engineering And Computer Science,EECS, 215,015,Intro to Elect Circ,TH,430-530PM,Mohammadi Estakhri,4.00
Engineering,15526,Electrical Engineering And Computer Science,EECS, 215,021,Intro to Elect Circ,W,3-6PM,Sanamzadehkarimabad,4.00
Engineering,15527,Electrical Engineering And Computer Science,EECS, 215,022,Intro to Elect Circ,T,3-6PM,Mohammadi Estakhri,4.00
Engineering,15528,Electrical Engineering And Computer Science,EECS, 215,023,Intro to Elect Circ,T,6-9PM,Turek,4.00
Engineering,15529,Electrical Engineering And Computer Science,EECS, 215,024,Intro to Elect Circ,W,9-12PM,Sengupta,4.00
Engineering,15530,Electrical Engineering And Computer Science,EECS, 215,025,Intro to Elect Circ,W,6-9PM,Sanamzadehkarimabad,4.00
Engineering,15533,Electrical Engineering And Computer Science,EECS, 215,026,Intro to Elect Circ,M,12-3PM,Block,4.00
Engineering,15531,Electrical Engineering And Computer Science,EECS, 215,027,Intro to Elect Circ,TH,9-12PM,Jian,4.00
Engineering,15532,Electrical Engineering And Computer Science,EECS, 215,028,Intro to Elect Circ,T,12-3PM,Turek,4.00
Engineering,18210,Electrical Engineering And Computer Science,EECS, 215,029,Intro to Elect Circ,TH,12-3PM,Jian,4.00
Engineering,18211,Electrical Engineering And Computer Science,EECS, 215,030,Intro to Elect Circ,F,3-6PM,Mohammadi Estakhri,4.00
Engineering,29613,Electrical Engineering And Computer Science,EECS, 215,031,Intro to Elect Circ,T,9-12PM,Ghosh,4.00
Engineering,33927,Electrical Engineering And Computer Science,EECS, 215,032,Intro to Elect Circ,F,12-3PM,Ghosh,4.00
Engineering,18550,Electrical Engineering And Computer Science,EECS, 216,001,Intro Signals&Syst,T TH,1030-12PM,Anastasopoulos,4.00
Engineering,18783,Electrical Engineering And Computer Science,EECS, 216,002,Intro Signals&Syst,T TH,130-3PM,Anastasopoulos,4.00
Engineering,18551,Electrical Engineering And Computer Science,EECS, 216,011,Intro Signals&Syst,TH,330-430PM,Bhaskaramurthi,4.00
Engineering,18552,Electrical Engineering And Computer Science,EECS, 216,012,Intro Signals&Syst,F,1230-130PM,Bhaskaramurthi,4.00
Engineering,18553,Electrical Engineering And Computer Science,EECS, 216,013,Intro Signals&Syst,F,130-230PM,Bhaskaramurthi,4.00
Engineering,18554,Electrical Engineering And Computer Science,EECS, 216,021,Intro Signals&Syst,M,3-6PM,Bork,4.00
Engineering,18555,Electrical Engineering And Computer Science,EECS, 216,022,Intro Signals&Syst,M,6-9PM,Bork,4.00
Engineering,18556,Electrical Engineering And Computer Science,EECS, 216,023,Intro Signals&Syst,W,12-3PM,Cui,4.00
Engineering,18557,Electrical Engineering And Computer Science,EECS, 216,024,Intro Signals&Syst,TH,3-6PM,Chavan,4.00
Engineering,18558,Electrical Engineering And Computer Science,EECS, 216,025,Intro Signals&Syst,TH,6-9PM,Cui,4.00
Engineering,21416,Electrical Engineering And Computer Science,EECS, 216,026,Intro Signals&Syst,F,9-12PM,Cui,4.00
Engineering,18559,Electrical Engineering And Computer Science,EECS, 216,027,Intro Signals&Syst,M,9-12PM,Chavan,4.00
Engineering,33893,Electrical Engineering And Computer Science,EECS, 216,028,Intro Signals&Syst,F,6-9PM,Gaissert,4.00
Engineering,32023,Electrical Engineering And Computer Science,EECS, 230,001,Engineering EM,T TH,1030-12PM,Rand,4.00
Engineering,28910,Electrical Engineering And Computer Science,EECS, 230,002,Engineering EM,T TH,12-130PM,Lee,4.00
Engineering,32405,Electrical Engineering And Computer Science,EECS, 230,011,Engineering EM,F,1030-1130AM,Nigam,4.00
Engineering,32407,Electrical Engineering And Computer Science,EECS, 230,021,Engineering EM,F,1130-1230PM,Nigam,4.00
Engineering,10377,Electrical Engineering And Computer Science,EECS, 230,031,Engineering EM,W,3-6PM,Chen,4.00
Engineering,10379,Electrical Engineering And Computer Science,EECS, 230,032,Engineering EM,TH,12-3PM,Shaska,4.00
Engineering,16902,Electrical Engineering And Computer Science,EECS, 230,033,Engineering EM,W,6-9PM,Gu,4.00
Engineering,21024,Electrical Engineering And Computer Science,EECS, 230,034,Engineering EM,TH,6-9PM,Gu,4.00
Engineering,16770,Electrical Engineering And Computer Science,EECS, 270,001,Intro Logic Design,M W,1030-12PM,"VanLaven, Nguyen, Joy",4.00
Engineering,10380,Electrical Engineering And Computer Science,EECS, 270,011,Intro Logic Design,TH,3-6PM,Scott,4.00
Engineering,10382,Electrical Engineering And Computer Science,EECS, 270,013,Intro Logic Design,T,930-1230PM,McGrath,4.00
Engineering,10383,Electrical Engineering And Computer Science,EECS, 270,014,Intro Logic Design,T,130-430PM,Karve,4.00
Engineering,10384,Electrical Engineering And Computer Science,EECS, 270,015,Intro Logic Design,T,430-730PM,Chen,4.00
